Generation;Game;Gym;Gym leader;Pokemon;Level;Move 1;Move 2;Move 3;Move 4
1;Red;Elite Four;Champion Blue Bulbasaur;Charizard;65;fire-blast;rage;slash;fire-spin
1;Red;Elite Four;Champion Blue charmander;Pidgeot;61;wing-attack;mirror-move;sky-attack;whirlwind
1;Red;Elite Four;Champion Blue charmander;Alakazam;59;psybeam;psychic;reflect;recover
1;Red;Elite Four;Champion Blue charmander;Rhydon;61;leer;tail-whip;fury-attack;horn-drill
1;Red;Elite Four;Champion Blue charmander;Exeggutor;63;hypnosis;barrage;stomp;
1;Red;Elite Four;Champion Blue charmander;Arcanine;61;roar;leer;ember;take-down
1;Red;Elite Four;Champion Blue charmander;Blastoise;65;hydro-pump;blizzard;bite;withdraw
1;Blue;Pewter City;Brock;Geodude;12;tackle;defense-curl;;
1;Blue;Pewter City;Brock;Onix;14;tackle;screech;bide;
1;Blue;Cerulean City;misty;Staryu;18;tackle;water-gun;;
1;Blue;Cerulean City;misty;Starmie;21;tackle;water-gun;harden;bubble-beam
1;Blue;Vermilion City;Lt. Surge;Voltorb;21;tackle;screech;sonic-boom;
1;Blue;Vermilion City;Lt. Surge;Pikachu;18;thunder-shock;thunder-wave;growl;quick-attack
1;Blue;Vermilion City;Lt. Surge;Raichu;24;thunderbolt;thunder-shock;thunder-wave;growl
1;Blue;Celadon City;Erika;Victreebel;29;wrap;poison-powder;sleep-powder;razor-leaf
1;Blue;Celadon City;Erika;Tangela;24;bind;constrict;;
1;Blue;Celadon City;Erika;Vileplume;29;poison-powder;mega-drain;sleep-powder;petal-dance
1;Blue;Fuchsia City;Koga;Koffing;37;tackle;smog;sludge;smokescreen
1;Blue;Fuchsia City;Koga;Muk;39;disable;poison-gas;minimize;sludge
1;Blue;Fuchsia City;Koga;Koffing;37;tackle;smog;sludge;smokescreen
1;Blue;Fuchsia City;Koga;Weezing;43;smog;sludge;toxic;self-destruct
1;Blue;Saffron City;Sabrina;Kadabra;38;disable;psybeam;recover;psychic
1;Blue;Saffron City;Sabrina;Mr. Mime;37;confusion;barrier;light-screen;double-slap
1;Blue;Saffron City;Sabrina;Venomoth;38;poison-powder;leech-life;stun-spore;psybeam
1;Blue;Saffron City;Sabrina;Alakazam;43;psybeam;recover;psywave;reflect
1;Blue;Cinnabar Island;Blaine;Growlithe;42;ember;leer;take-down;agility
1;Blue;Cinnabar Island;Blaine;Ponyta;40;tail-whip;stomp;growl;fire-spin
1;Blue;Cinnabar Island;Blaine;Rapidash;42;tail-whip;stomp;growl;fire-spin
1;Blue;Cinnabar Island;Blaine;Arcanine;47;roar;ember;take-down;fire-blast
1;Blue;Viridian City;Giovanni;Rhyhorn;45;stomp;tail-whip;fury-attack;horn-attack
1;Blue;Viridian City;Giovanni;Dugtrio;42;growl;dig;sand-attack;slash
1;Blue;Viridian City;Giovanni;Nidoqueen;44;scratch;tail-whip;poison-sting;body-slam
1;Blue;Viridian City;Giovanni;Nidoking;45;tackle;horn-attack;poison-sting;thrash
1;Blue;Viridian City;Giovanni;Rhydon;50;stomp;tail-whip;fissure;horn-drill
1;Blue;Elite Four;Lorelei;Dewgong;54;growl;aurora-beam;rest;take-down
1;Blue;Elite Four;Lorelei;Cloyster;53;supersonic;clamp;aurora-beam;spike-cannon
1;Blue;Elite Four;Lorelei;Slowbro;54;water-gun;growl;withdraw;amnesia
1;Blue;Elite Four;Lorelei;Jynx;56;double-slap;ice-punch;body-slam;thrash
1;Blue;Elite Four;Lorelei;Lapras;56;body-slam;confuse-ray;hydro-pump;blizzard
1;Blue;Elite Four;Bruno;Onix;53;rock-throw;rage;slam;harden
1;Blue;Elite Four;Bruno;Hitmonchan;55;ice-punch;fire-punch;thunder-punch;counter
1;Blue;Elite Four;Bruno;Hitmonlee;55;jump-kick;focus-energy;high-jump-kick;mega-kick
1;Blue;Elite Four;Bruno;Onix;56;rock-throw;rage;slam;harden
1;Blue;Elite Four;Bruno;Machamp;58;leer;focus-energy;fissure;submission
1;Blue;Elite Four;Agatha;Gengar;56;confuse-ray;night-shade;hypnosis;dream-eater
1;Blue;Elite Four;Agatha;Golbat;56;supersonic;confuse-ray;wing-attack;haze
1;Blue;Elite Four;Agatha;Haunter;55;confuse-ray;night-shade;hypnosis;dream-eater
1;Blue;Elite Four;Agatha;Arbok;58;bite;glare;screech;acid
1;Blue;Elite Four;Agatha;Gengar;60;confuse-ray;night-shade;toxic;dream-eater
1;Blue;Elite Four;Lance;Gyarados;58;hydro-pump;dragon-rage;leer;hyper-beam
1;Blue;Elite Four;Lance;Dragonair;56;agility;slam;dragon-rage;hyper-beam
1;Blue;Elite Four;Lance;Dragonair;56;agility;slam;dragon-rage;hyper-beam
1;Blue;Elite Four;Lance;Aerodactyl;60;supersonic;take-down;bite;hyper-beam
1;Blue;Elite Four;Lance;Dragonite;62;agility;slam;barrier;hyper-beam
1;Blue;Elite Four;Champion Blue Squirtle;Pidgeot;61;wing-attack;mirror-move;sky-attack;whirlwind
1;Blue;Elite Four;Champion Blue Squirtle;Alakazam;59;psybeam;psychic;reflect;recover
1;Blue;Elite Four;Champion Blue Squirtle;Rhydon;61;leer;tail-whip;fury-attack;horn-drill
1;Blue;Elite Four;Champion Blue Squirtle;Arcanine;63;roar;leer;ember;take-down
1;Blue;Elite Four;Champion Blue Squirtle;Gyarados;61;dragon-rage;hydro-pump;hyper-beam;leer
1;Blue;Elite Four;Champion Blue Squirtle;Venusaur;65;growth;mega-drain;razor-leaf;solar-beam
1;Blue;Elite Four;Champion Blue Bulbasaur;Pidgeot;61;wing-attack;mirror-move;sky-attack;whirlwind
1;Blue;Elite Four;Champion Blue Bulbasaur;Alakazam;59;psybeam;psychic;reflect;recover
1;Blue;Elite Four;Champion Blue Bulbasaur;Rhydon;61;leer;tail-whip;fury-attack;horn-drill
1;Blue;Elite Four;Champion Blue Bulbasaur;Gyarados;63;dragon-rage;hydro-pump;hyper-beam;leer
1;Blue;Elite Four;Champion Blue Bulbasaur;Exeggutor;61;hypnosis;barrage;stomp;
1;Blue;Elite Four;Champion Blue Bulbasaur;Charizard;65;fire-blast;rage;slash;fire-spin
1;Blue;Elite Four;Champion Blue charmander;Pidgeot;61;wing-attack;mirror-move;sky-attack;whirlwind
1;Blue;Elite Four;Champion Blue charmander;Alakazam;59;psybeam;psychic;reflect;recover
1;Blue;Elite Four;Champion Blue charmander;Rhydon;61;leer;tail-whip;fury-attack;horn-drill
1;Blue;Elite Four;Champion Blue charmander;Exeggutor;63;hypnosis;barrage;stomp;
1;Blue;Elite Four;Champion Blue charmander;Arcanine;61;roar;leer;ember;take-down
1;Blue;Elite Four;Champion Blue charmander;Blastoise;65;hydro-pump;blizzard;bite;withdraw
1;Yellow;Pewter City;Brock;Geodude;10;tackle;;;
1;Yellow;Pewter City;Brock;Onix;12;tackle;screech;bide;bind
1;Yellow;Cerulean City;misty;Staryu;18;tackle;water-gun;;
1;Yellow;Cerulean City;misty;Starmie;21;tackle;water-gun;harden;bubble-beam
1;Yellow;Vermilion City;Lt. Surge;Raichu;28;thunderbolt;growl;mega-punch;mega-kick
1;Yellow;Celadon City;Erika;Weepinbell;32;wrap;stun-spore;sleep-powder;razor-leaf
1;Yellow;Celadon City;Erika;Tangela;30;bind;mega-drain;vine-whip;constrict
1;Yellow;Celadon City;Erika;Gloom;32;acid;petal-dance;stun-spore;sleep-powder
1;Yellow;Fuchsia City;Koga;Venonat;44;tackle;toxic;sleep-powder;psychic
1;Yellow;Fuchsia City;Koga;Venonat;46;toxic;psybeam;supersonic;psychic
1;Yellow;Fuchsia City;Koga;Venonat;48;toxic;psychic;sleep-powder;double-edge
1;Yellow;Fuchsia City;Koga;Venomoth;50;toxic;psychic;leech-life;double-team
1;Yellow;Saffron City;Sabrina;Abra;50;teleport;flash;;
1;Yellow;Saffron City;Sabrina;Kadabra;50;psychic;recover;kinesis;psywave
1;Yellow;Saffron City;Sabrina;Alakazam;50;psychic;psywave;reflect;recover
1;Yellow;Cinnabar Island;Blaine;Ninetales;48;confuse-ray;quick-attack;tail-whip;flamethrower
1;Yellow;Cinnabar Island;Blaine;Rapidash;50;take-down;stomp;growl;fire-spin
1;Yellow;Cinnabar Island;Blaine;Arcanine;54;reflect;flamethrower;take-down;fire-blast
1;Yellow;Viridian City;Giovanni;Dugtrio;50;sand-attack;dig;fissure;earthquake
1;Yellow;Viridian City;Giovanni;Persian;53;screech;slash;fury-swipes;double-team
1;Yellow;Viridian City;Giovanni;Nidoqueen;53;tail-whip;double-kick;poison-sting;thunder
1;Yellow;Viridian City;Giovanni;Nidoking;55;thunder;leer;earthquake;thrash
1;Yellow;Viridian City;Giovanni;Rhydon;55;rock-slide;fury-attack;earthquake;horn-drill
1;Yellow;Elite Four;Lorelei;Dewgong;54;bubble-beam;aurora-beam;rest;take-down
1;Yellow;Elite Four;Lorelei;Cloyster;53;supersonic;clamp;ice-beam;spike-cannon
1;Yellow;Elite Four;Lorelei;Slowbro;54;surf;psychic;withdraw;amnesia
1;Yellow;Elite Four;Lorelei;Jynx;56;double-slap;ice-punch;lovely-kiss;thrash
1;Yellow;Elite Four;Lorelei;Lapras;56;body-slam;confuse-ray;hydro-pump;blizzard
1;Yellow;Elite Four;Bruno;Onix;53;rock-throw;dig;slam;screech
1;Yellow;Elite Four;Bruno;Hitmonchan;55;ice-punch;fire-punch;thunder-punch;double-team
1;Yellow;Elite Four;Bruno;Hitmonlee;55;double-kick;double-team;high-jump-kick;mega-kick
1;Yellow;Elite Four;Bruno;Onix;56;rock-slide;screech;earthquake;slam
1;Yellow;Elite Four;Bruno;Machamp;58;leer;strength;karate-chop;submission
1;Yellow;Elite Four;Agatha;Gengar;56;confuse-ray;lick;substitute;mega-drain
1;Yellow;Elite Four;Agatha;Golbat;56;supersonic;leech-life;wing-attack;toxic
1;Yellow;Elite Four;Agatha;Haunter;55;confuse-ray;lick;hypnosis;dream-eater
1;Yellow;Elite Four;Agatha;Arbok;58;wrap;glare;screech;acid
1;Yellow;Elite Four;Agatha;Gengar;60;confuse-ray;psychic;hypnosis;dream-eater
1;Yellow;Elite Four;Lance;Gyarados;58;hydro-pump;dragon-rage;leer;hyper-beam
1;Yellow;Elite Four;Lance;Dragonair;56;thunderbolt;slam;thunder-wave;hyper-beam
1;Yellow;Elite Four;Lance;Dragonair;56;wrap;bubble-beam;ice-beam;hyper-beam
1;Yellow;Elite Four;Lance;Aerodactyl;60;wing-attack;fly;swift;hyper-beam
1;Yellow;Elite Four;Lance;Dragonite;62;blizzard;fire-blast;thunder;hyper-beam
1;Yellow;Elite Four;Champion Blue Vaporeon;Sandslash;61;earthquake;slash;poison-sting;fury-swipes
1;Yellow;Elite Four;Champion Blue Vaporeon;Alakazam;59;psybeam;psychic;kinesis;recover
1;Yellow;Elite Four;Champion Blue Vaporeon;Exeggutor;61;barrage;hypnosis;stomp;leech-seed
1;Yellow;Elite Four;Champion Blue Vaporeon;Magneton;63;thunderbolt;thunder-wave;screech;swift
1;Yellow;Elite Four;Champion Blue Vaporeon;Ninetales;61;fire-spin;tail-whip;quick-attack;confuse-ray
1;Yellow;Elite Four;Champion Blue Vaporeon;Vaporeon;65;hydro-pump;aurora-beam;quick-attack;mist
1;Yellow;Elite Four;Champion Blue Jolteon;Sandslash;61;earthquake;slash;poison-sting;fury-swipes
1;Yellow;Elite Four;Champion Blue Jolteon;Alakazam;59;psybeam;psychic;kinesis;recover
1;Yellow;Elite Four;Champion Blue Jolteon;Exeggutor;61;barrage;hypnosis;stomp;leech-seed
1;Yellow;Elite Four;Champion Blue Jolteon;Ninetales;63;fire-spin;tail-whip;quick-attack;confuse-ray
1;Yellow;Elite Four;Champion Blue Jolteon;Cloyster;61;ice-beam;spike-cannon;aurora-beam;clamp
1;Yellow;Elite Four;Champion Blue Jolteon;Jolteon;65;thunder;thunderbolt;quick-attack;Pin Missile
1;Yellow;Elite Four;Champion Blue Flareon;Sandslash;61;earthquake;slash;poison-sting;fury-swipes
1;Yellow;Elite Four;Champion Blue Flareon;Alakazam;59;psybeam;psychic;kinesis;recover
1;Yellow;Elite Four;Champion Blue Flareon;Exeggutor;61;barrage;hypnosis;stomp;leech-seed
1;Yellow;Elite Four;Champion Blue Flareon;Cloyster;63;ice-beam;spike-cannon;aurora-beam;clamp
1;Yellow;Elite Four;Champion Blue Flareon;Magneton;61;thunderbolt;thunder-wave;screech;swift
1;Yellow;Elite Four;Champion Blue Flareon;Flareon;65;flamethrower;quick-attack;smog;fire-spin
2;Gold;Violet City;Falkner;Pidgey;7;tackle;mud-slap;;
2;Gold;Violet City;Falkner;Pidgeotto;9;tackle;mud-slap;gust;
2;Gold;Azalea Town;Bugsy;Metapod;14;tackle;string-shot;harden;
2;Gold;Azalea Town;Bugsy;Kakuna;14;poison-sting;string-shot;harden;
2;Gold;Azalea Town;Bugsy;Scyther;16;quick-attack;leer;fury-cutter;
2;Gold;Goldenrod City;Whitney;Clefairy;18;double-slap;mimic;encore;metronome
2;Gold;Goldenrod City;Whitney;Miltank;20;rollout;attract;stomp;milk-drink
2;Gold;Ecruteak City;Morty;Gastly;21;lick;spite;mean-look;curse
2;Gold;Ecruteak City;Morty;Haunter;21;hypnosis;mimic;curse;night-shade
2;Gold;Ecruteak City;Morty;Haunter;23;spite;mean-look;mimic;night-shade
2;Gold;Ecruteak City;Morty;Gengar;25;hypnosis;shadow-ball;mean-look;dream-eater
2;Gold;Cianwood City;Chuck;Primeape;27;leer;rage;karate-chop;fury-swipes
2;Gold;Cianwood City;Chuck;Poliwrath;30;hypnosis;mind-reader;surf;dynamic-punch
2;Gold;Olivine City;Jasmine;Magnemite;30;thunderbolt;supersonic;sonic-boom;thunder-wave
2;Gold;Olivine City;Jasmine;Magnemite;30;thunderbolt;supersonic;sonic-boom;thunder-wave
2;Gold;Olivine City;Jasmine;Steelix;35;screech;sunny-day;rock-throw;iron-tail
2;Gold;Mahogany Town;Pryce;Seel;27;headbutt;icy-wind;aurora-beam;rest
2;Gold;Mahogany Town;Pryce;Dewgong;29;headbutt;icy-wind;aurora-beam;rest
2;Gold;Mahogany Town;Pryce;Piloswine;31;icy-wind;fury-attack;mist;blizzard
2;Gold;Blackthorn City;Clair;Dragonair;37;thunder-wave;surf;slam;dragon-breath
2;Gold;Blackthorn City;Clair;Dragonair;37;thunder-wave;thunderbolt;slam;dragon-breath
2;Gold;Blackthorn City;Clair;Dragonair;37;thunder-wave;ice-beam;slam;dragon-breath
2;Gold;Blackthorn City;Clair;Kingdra;40;smokescreen;surf;hyper-beam;dragon-breath
2;Gold;Vermilion City;Lt. Surge;Raichu;44;thunder-wave;quick-attack;thunderbolt;thunder
2;Gold;Vermilion City;Lt. Surge;Electrode;40;screech;double-team;swift;explosion
2;Gold;Vermilion City;Lt. Surge;Electrode;41;screech;double-team;swift;explosion
2;Gold;Vermilion City;Lt. Surge;Magneton;40;lock-on;double-team;swift;zap-cannon
2;Gold;Vermilion City;Lt. Surge;Electabuzz;45;quick-attack;thunder-punch;light-screen;thunder
2;Gold;Saffron City;Sabrina;Espeon;46;sand-attack;quick-attack;swift;psychic
2;Gold;Saffron City;Sabrina;Mr. Mime;46;barrier;reflect;baton-pass;psychic
2;Gold;Saffron City;Sabrina;Alakazam;48;recover;future-sight;psychic;reflect
2;Gold;Celadon City;Erika;Tangela;42;vine-whip;bind;giga-drain;sleep-powder
2;Gold;Celadon City;Erika;Jumpluff;41;mega-drain;leech-seed;cotton-spore;giga-drain
2;Gold;Celadon City;Erika;Victreebel;46;sunny-day;synthesis;acid;razor-leaf
2;Gold;Celadon City;Erika;Bellossom;46;sunny-day;synthesis;petal-dance;solar-beam
2;Gold;Fuchsia City;Janine;Crobat;36;screech;supersonic;confuse-ray;wing-attack
2;Gold;Fuchsia City;Janine;Weezing;36;smog;sludge-bomb;toxic;explosion
2;Gold;Fuchsia City;Janine;Weezing;37;smog;sludge-bomb;toxic;explosion
2;Gold;Fuchsia City;Janine;Ariados;33;scary-face;giga-drain;string-shot;night-shade
2;Gold;Fuchsia City;Janine;Venomoth;39;foresight;double-team;gust;psychic
2;Gold;Cerulean City;misty;Golduck;42;surf;disable;psych-up;psychic
2;Gold;Cerulean City;misty;Quagsire;42;surf;amnesia;earthquake;rain-dance
2;Gold;Cerulean City;misty;Lapras;44;surf;perish-song;blizzard;rain-dance
2;Gold;Cerulean City;misty;Starmie;47;surf;confuse-ray;recover;ice-beam
2;Gold;Pewter City;Brock;Graveler;41;defense-curl;rock-slide;rollout;earthquake
2;Gold;Pewter City;Brock;Rhyhorn;41;fury-attack;scary-face;earthquake;horn-drill
2;Gold;Pewter City;Brock;Omastar;42;bite;surf;protect;spike-cannon
2;Gold;Pewter City;Brock;Onix;44;bind;rock-slide;bide;sandstorm
2;Gold;Pewter City;Brock;Kabutops;42;slash;surf;endure;giga-drain
2;Gold;Seafoam Islands;Blaine;Magcargo;45;curse;smog;flamethrower;rock-slide
2;Gold;Seafoam Islands;Blaine;Magmar;45;thunder-punch;fire-punch;sunny-day;confuse-ray
2;Gold;Seafoam Islands;Blaine;Rapidash;50;quick-attack;fire-spin;fury-attack;fire-blast
2;Gold;Viridian City;Blue;Pidgeot;56;quick-attack;whirlwind;wing-attack;mirror-move
2;Gold;Viridian City;Blue;Alakazam;54;disable;recover;psychic;reflect
2;Gold;Viridian City;Blue;Rhydon;56;fury-attack;sandstorm;rock-slide;earthquake
2;Gold;Viridian City;Blue;Gyarados;58;twister;hydro-pump;rain-dance;hyper-beam
2;Gold;Viridian City;Blue;Exeggutor;58;sunny-day;leech-seed;egg-bomb;solar-beam
2;Gold;Viridian City;Blue;Arcanine;58;roar;swift;flamethrower;extreme-speed
2;Gold;Elite Four;Will;Xatu;40;quick-attack;future-sight;confuse-ray;psychic
2;Gold;Elite Four;Will;Jynx;41;double-slap;lovely-kiss;ice-punch;psychic
2;Gold;Elite Four;Will;Exeggutor;41;reflect;leech-seed;egg-bomb;psychic
2;Gold;Elite Four;Will;Slowbro;41;curse;amnesia;body-slam;psychic
2;Gold;Elite Four;Will;Xatu;42;quick-attack;future-sight;confuse-ray;psychic
2;Gold;Elite Four;Koga;Ariados;40;double-team;spider-web;baton-pass;giga-drain
2;Gold;Elite Four;Koga;Venomoth;41;supersonic;gust;psychic;toxic
2;Gold;Elite Four;Koga;Forretress;43;protect;swift;explosion;spikes
2;Gold;Elite Four;Koga;Muk;42;minimize;acid-armor;sludge-bomb;toxic
2;Gold;Elite Four;Bruno;Hitmontop;42;pursuit;quick-attack;dig;detect
2;Gold;Elite Four;Bruno;Hitmonlee;42;swagger;double-kick;high-jump-kick;foresight
2;Gold;Elite Four;Bruno;Hitmonchan;42;thunder-punch;fire-punch;ice-punch;mach-punch
2;Gold;Elite Four;Bruno;Onix;43;bind;earthquake;sandstorm;rock-slide
2;Gold;Elite Four;Bruno;Machamp;46;rock-slide;foresight;vital-throw;cross-chop
2;Gold;Elite Four;Karen;Umbreon;42;sand-attack;confuse-ray;feint-attack;mean-look
2;Gold;Elite Four;Karen;Vileplume;42;stun-spore;acid;moonlight;petal-dance
2;Gold;Elite Four;Karen;Gengar;45;lick;spite;curse;destiny-bond
2;Gold;Elite Four;Karen;Murkrow;44;quick-attack;whirlwind;pursuit;feint-attack
2;Gold;Elite Four;Karen;Houndoom;47;roar;pursuit;flamethrower;crunch
2;Gold;Elite Four;Champion Lance;Gyarados;44;flail;rain-dance;surf;hyper-beam
2;Gold;Elite Four;Champion Lance;Dragonite;47;thunder-wave;twister;thunder;hyper-beam
2;Gold;Elite Four;Champion Lance;Dragonite;48;thunder-wave;twister;blizzard;hyper-beam
2;Gold;Elite Four;Champion Lance;Aerodactyl;46;wing-attack;ancient-power;rock-slide;hyper-beam
2;Gold;Elite Four;Champion Lance;Charizard;46;flamethrower;wing-attack;slash;hyper-beam
2;Gold;Elite Four;Champion Lance;Dragonite;50;fire-blast;safeguard;outrage;hyper-beam
2;Silver;Violet City;Falkner;Pidgey;7;tackle;mud-slap;;
2;Silver;Violet City;Falkner;Pidgeotto;9;tackle;mud-slap;gust;
2;Silver;Azalea Town;Bugsy;Metapod;14;tackle;string-shot;harden;
2;Silver;Azalea Town;Bugsy;Kakuna;14;poison-sting;string-shot;harden;
2;Silver;Azalea Town;Bugsy;Scyther;16;quick-attack;leer;fury-cutter;
2;Silver;Goldenrod City;Whitney;Clefairy;18;double-slap;mimic;encore;metronome
2;Silver;Goldenrod City;Whitney;Miltank;20;rollout;attract;stomp;milk-drink
2;Silver;Ecruteak City;Morty;Gastly;21;lick;spite;mean-look;curse
2;Silver;Ecruteak City;Morty;Haunter;21;hypnosis;mimic;curse;night-shade
2;Silver;Ecruteak City;Morty;Haunter;23;spite;mean-look;mimic;night-shade
2;Silver;Ecruteak City;Morty;Gengar;25;hypnosis;shadow-ball;mean-look;dream-eater
2;Silver;Cianwood City;Chuck;Primeape;27;leer;rage;karate-chop;fury-swipes
2;Silver;Cianwood City;Chuck;Poliwrath;30;hypnosis;mind-reader;surf;dynamic-punch
2;Silver;Olivine City;Jasmine;Magnemite;30;thunderbolt;supersonic;sonic-boom;thunder-wave
2;Silver;Olivine City;Jasmine;Magnemite;30;thunderbolt;supersonic;sonic-boom;thunder-wave
2;Silver;Olivine City;Jasmine;Steelix;35;screech;sunny-day;rock-throw;iron-tail
2;Silver;Mahogany Town;Pryce;Seel;27;headbutt;icy-wind;aurora-beam;rest
2;Silver;Mahogany Town;Pryce;Dewgong;29;headbutt;icy-wind;aurora-beam;rest
2;Silver;Mahogany Town;Pryce;Piloswine;31;icy-wind;fury-attack;mist;blizzard
2;Silver;Blackthorn City;Clair;Dragonair;37;thunder-wave;surf;slam;dragon-breath
2;Silver;Blackthorn City;Clair;Dragonair;37;thunder-wave;thunderbolt;slam;dragon-breath
2;Silver;Blackthorn City;Clair;Dragonair;37;thunder-wave;ice-beam;slam;dragon-breath
2;Silver;Blackthorn City;Clair;Kingdra;40;smokescreen;surf;hyper-beam;dragon-breath
2;Silver;Vermilion City;Lt. Surge;Raichu;44;thunder-wave;quick-attack;thunderbolt;thunder
2;Silver;Vermilion City;Lt. Surge;Electrode;40;screech;double-team;swift;explosion
2;Silver;Vermilion City;Lt. Surge;Electrode;41;screech;double-team;swift;explosion
2;Silver;Vermilion City;Lt. Surge;Magneton;40;lock-on;double-team;swift;zap-cannon
2;Silver;Vermilion City;Lt. Surge;Electabuzz;45;quick-attack;thunder-punch;light-screen;thunder
2;Silver;Saffron City;Sabrina;Espeon;46;sand-attack;quick-attack;swift;psychic
